loss,train,estimators,train_time,params,iteration
-0.7680852301540673,-0.8581223095464093,71.6,1.7177041685918084,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9909790056806554, 'learning_rate': 0.09497124972190404, 'min_child_samples': 320, 'num_leaves': 48, 'reg_alpha': 0.4632317314682301, 'reg_lambda': 0.8802044353056087, 'subsample_for_bin': 200000, 'subsample': 0.6419391687325738}",43
-0.7408950035344393,-0.9744910117037385,54.6,3.9040232971437945,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.8702434385915312, 'learning_rate': 0.14206379905584826, 'min_child_samples': 25, 'num_leaves': 140, 'reg_alpha': 0.7242424548070905, 'reg_lambda': 0.9561309145122093, 'subsample_for_bin': 60000, 'subsample': 1.0}",44
-0.7670230924478798,-0.8387137082293055,225.0,2.680956780361157,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9340927679706302, 'learning_rate': 0.02911246808145867, 'min_child_samples': 260, 'num_leaves': 60, 'reg_alpha': 0.8694600329184227, 'reg_lambda': 0.6457835148958153, 'subsample_for_bin': 120000, 'subsample': 0.6253846762940358}",45
-0.7739826755020444,-0.8102218095264027,308.4,3.1200299008087313,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9097190029104466, 'learning_rate': 0.048084109219627746, 'min_child_samples': 425, 'num_leaves': 120, 'reg_alpha': 0.2456718581094563, 'reg_lambda': 0.7602774793068421, 'subsample_for_bin': 100000, 'subsample': 1.0}",46
-0.7570397109138066,-0.7694758672346074,54.4,1.1180922647017724,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9151122288813058, 'learning_rate': 0.024043616505485463, 'min_child_samples': 475, 'num_leaves': 119, 'reg_alpha': 0.24628509720029498, 'reg_lambda': 0.7840779036207468, 'subsample_for_bin': 40000, 'subsample': 1.0}",47
-0.7687765707792443,-0.8080384857475801,98.2,1.9511244660980083,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.9524894358027218, 'learning_rate': 0.03479250640113989, 'min_child_samples': 415, 'num_leaves': 114, 'reg_alpha': 0.1034865390912233, 'reg_lambda': 0.839047734329328, 'subsample_for_bin': 100000, 'subsample': 0.6309654619254242}",48
-0.7668626510246355,-0.7935393973205775,48.2,1.5853367709405575,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7979115848407646, 'learning_rate': 0.010550100179465477, 'min_child_samples': 370, 'num_leaves': 134, 'reg_alpha': 0.266212755210825, 'reg_lambda': 0.9300312692150576, 'subsample_for_bin': 80000, 'subsample': 1.0}",49
-0.765350771538881,-0.8269610174319608,231.8,11.331224840881987,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7735399263001052, 'learning_rate': 0.04654299643848945, 'min_child_samples': 295, 'num_leaves': 93, 'reg_alpha': 0.34716731220056246, 'reg_lambda': 0.564568187913858, 'subsample_for_bin': 60000, 'subsample': 0.9861670237020803}",50
-0.7669531478972548,-0.8094212651867055,608.8,4.910696365708645,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9976674600773205, 'learning_rate': 0.012893736959023393, 'min_child_samples': 390, 'num_leaves': 104, 'reg_alpha': 0.4097001857841573, 'reg_lambda': 0.9987333357846395, 'subsample_for_bin': 40000, 'subsample': 1.0}",51
-0.7658584128438638,-0.8035999972803085,67.8,2.7018065640695568,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7168634309011374, 'learning_rate': 0.06858320357003347, 'min_child_samples': 440, 'num_leaves': 140, 'reg_alpha': 0.06691224917061844, 'reg_lambda': 0.48120798968897716, 'subsample_for_bin': 100000, 'subsample': 0.5644494670048212}",52
